timestamp,gpu_index,utilization.gpu,memory.used,memory.total,temperature.gpu,power.draw
2026-08-18T20:31:31+00:00,0,83,7896,12282,67,85.96
2026-08-18T20:31:36+00:00,0,98,9298,12282,71,160.78
2026-08-18T20:31:41+00:00,0,73,9298,12282,73,162.10
2026-08-18T20:31:46+00:00,0,79,9313,12282,73,162.32
2026-08-18T20:31:51+00:00,0,91,9312,12282,71,163.16
2026-08-18T20:31:56+00:00,0,83,9312,12282,72,158.25
2026-08-18T20:32:02+00:00,0,24,7802,12282,63,130.76
2026-08-18T20:32:07+00:00,0,95,8456,12282,71,160.70
2026-08-18T20:32:12+00:00,0,79,8456,12282,74,161.82
2026-08-18T20:32:17+00:00,0,86,9666,12282,69,160.57
2026-08-18T20:32:22+00:00,0,81,11244,12282,73,159.83
2026-08-18T20:32:27+00:00,0,94,11244,12282,71,160.72
2026-08-18T20:32:32+00:00,0,61,7784,12282,64,123.48
2026-08-18T20:32:37+00:00,0,87,9550,12282,72,160.43
2026-08-18T20:32:42+00:00,0,82,10830,12282,73,162.01
2026-08-18T20:32:47+00:00,0,75,10830,12282,73,157.55
2026-08-18T20:32:52+00:00,0,76,11828,12282,68,153.24
2026-08-18T20:32:57+00:00,0,81,11828,12282,71,155.80
2026-08-18T20:33:02+00:00,0,77,11828,12282,73,157.07
2026-08-18T20:33:07+00:00,0,0,6908,12282,58,81.41
2026-08-18T20:33:12+00:00,0,92,8458,12282,72,161.12
2026-08-18T20:33:17+00:00,0,80,9710,12282,69,162.71
2026-08-18T20:33:22+00:00,0,82,9710,12282,73,159.67
2026-08-18T20:33:27+00:00,0,94,10798,12282,71,160.12
2026-08-18T20:33:32+00:00,0,88,10798,12282,73,159.08
2026-08-18T20:33:37+00:00,0,63,7854,12282,64,128.87
2026-08-18T20:33:43+00:00,0,84,8404,12282,73,162.65
2026-08-18T20:33:48+00:00,0,87,9814,12282,73,160.83
2026-08-18T20:33:53+00:00,0,79,9814,12282,72,159.67
